,,,15-Aug,,15-Sep,,15-Oct,,15-Nov,,15-Dec,,16-Jan,,16-Feb,,16-Mar,,16-Apr,,16-May,,16-Jun,,16-Jul,,16-Aug,,16-Sep
,,DPI Rocky Mountain,"7,992.00",,"6,058.80",,0,,"7,192.80",,0,,"4,222.80",,"6,199.20",,"5,508.00",,"5,994.00",,"8,002.80",,0,,"9,936.00",,0,,"5,529.60"
,,DPI WE,0,,"4,989.60",,0,,"3,564.00",,"7,581.60",,0,,"4,114.80",,"9,007.20",,"4,082.40",,"6,123.60",,"5,200.20",,"13,219.20",,"3,499.20",,0
,Total DPI,,"18,489.60",,"82,069.20",,"33,620.40",,"33,415.20",,"9,622.80",,"4,222.80",,"65,296.80",,"65,280.60",,"11,826.00",,"90,979.20",,"52,147.80",,"37,152.00",,"39,387.60",,"55,900.80"
,Drip Affogato Bar,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Duogreen,,"1,152.00",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,E&A Worldwide Traders,,0,,0,,0,,0,,0,,0,,0,,0,,"24,863.76",,0,,0,,0,,0,,0
,Eli's Manhattan,,0,,0,,345.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,"etailz, Inc.",,0,,0,,0,,0,,0,,0,,144,,0,,0,,0,,0,,0,,0,,0
,Event Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,American Museum of Natural History,0,,191.52,,0,,0,,63.84,,0,,0,,0,,0,,0,,0,,0,,0,,191.52
,,California Academy of Sciences,127.68,,0,,127.68,,319.2,,0,,127.68,,127.68,,127.68,,383.04,,127.68,,0,,63.84,,191.52,,0
,Total Event Network,,127.68,,191.52,,127.68,,319.2,,63.84,,127.68,,127.68,,127.68,,383.04,,127.68,,0,,63.84,,191.52,,191.52
,Exotic Gourmet Corporation,,"14,094.00",,"14,094.00",,0,,"9,396.00",,0,,"8,456.40",,"9,396.00",,"19,308.00",,"9,396.00",,"17,852.40",,"13,102.20",,"11,955.60",,"14,094.00",,"17,434.80"
,Fastachi,,0,,0,,0,,86.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,First Source,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Foundation Cafe,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,230.4,,0,,0,,0
,"Garden Spot Distributors, Inc.",,0,,648,,0,,0,,0,,540,,324,,945,,0,,0,,216,,0,,0,,0
,Global Foods Market,,0,,0,,172.8,,0,,172.8,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Good Stuff Distributors,,"3,304.80",,"5,184.00",,"7,387.20",,0,,"3,564.00",,"5,248.80",,"4,860.00",,"5,724.00",,"12,398.40",,"9,136.80",,"4,212.00",,"3,304.80",,"3,369.60",,"5,248.80"
,GrandBox LLC,,0,,0,,0,,0,,0,,432,,0,,0,,0,,0,,0,,0,,0,,0
,Grocery Outlet Bargin Market,,"4,439.14",,0,,0,,0,,0,,0,,0,,0,,"72,798.12",,0,,"13,210.08",,"75,666.24",,"51,319.92",,0
,"Group Publishing, Inc.",,"4,147.20",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"4,838.40",,0,,0
,Haddon House,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Haddon House - Howell,0,,0,,0,,0,,0,,0,,"7,372.80",,"12,902.40",,"6,552.00",,0,,"7,592.40",,"10,929.60",,"7,851.60",,"6,688.80"
,,Haddon House - Richburg,"7,372.80",,0,,"7,516.80",,0,,"7,372.80",,"7,444.80",,"7,444.80",,"36,086.40",,"29,491.20",,0,,"13,989.60",,"26,006.40",,"10,155.60",,"7,444.80"
,Total Haddon House,,"7,372.80",,0,,"7,516.80",,0,,"7,372.80",,"7,444.80",,"14,817.60",,"48,988.80",,"36,043.20",,0,,"21,582.00",,"36,936.00",,"18,007.20",,"14,133.60"
,Hasenpfeffer LLC,,0,,0,,0,,0,,144,,0,,0,,0,,0,,0,,0,,0,,0,,0
,HEB,,"4,147.20",,"20,736.00",,"12,441.60",,"8,294.40",,"8,294.40",,0,,"8,294.40",,0,,"16,588.80",,0,,"8,294.40",,0,,"8,294.40",,"8,294.40"
,HEM Distributing,,0,,0,,0,,0,,0,,0,,0,,"10,137.60",,0,,0,,"5,529.60",,0,,0,,0
,Home Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Home Goods - CA,0,,0,,"3,591.00",,891,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Home Goods - CT,0,,0,,"6,021.00",,"4,347.00",,"3,267.00",,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Home Goods - GA,0,,0,,"4,482.00",,"2,079.00",,"2,025.00",,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Home Goods - IN,0,,0,,"7,992.00",,"2,538.00",,"2,430.00",,0,,0,,0,,0,,0,,0,,0,,0,,0
,Total Home Goods,,0,,0,,"22,086.00",,"9,855.00",,"7,722.00",,0,,0,,0,,0,,0,,0,,0,,0,,0
,HU Kitchen,,0,,0,,0,,0,,0,,0,,0,,0,,0,,288,,144,,0,,0,,0
,HUMAN Healthy Vending,,0,,0,,0,,"15,079.20",,"12,916.80",,0,,"5,220.00",,0,,0,,0,,0,,0,,0,,0
,iHerb Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,iHerb - Hebron KY,0,,"4,070.40",,"3,240.00",,0,,"4,070.40",,0,,0,,"8,140.80",,"8,814.00",,0,,"4,006.80",,"4,070.40",,0,,"4,070.40"
,,iHerb - Perris CA,0,,"4,070.40",,"7,310.40",,0,,"-3,240.00",,"4,070.40",,"4,070.40",,"8,140.80",,"11,294.40",,0,,"4,070.40",,"4,070.40",,"8,140.80",,"8,140.80"
,Total iHerb Inc.,,0,,"8,140.80",,"10,550.40",,0,,830.4,,"4,070.40",,"4,070.40",,"16,281.60",,"20,108.40",,0,,"8,077.20",,"8,140.80",,"8,140.80",,"12,211.20"
,IL Fornaio - Caffe Del Mondo,,345.6,,691.2,,0,,172.8,,172.8,,172.8,,0,,0,,0,,0,,0,,0,,0,,0
,"Island Natural, Inc.",,0,,0,,"7,462.80",,0,,"7,462.80",,0,,0,,0,,0,,0,,0,,"3,686.40",,0,,"3,758.40"
,Jake's Finer Foods,,"11,275.20",,"7,516.80",,0,,0,,0,,"7,516.80",,0,,0,,"4,698.00",,"7,516.80",,0,,0,,"7,516.80",,0
,"Joyce Rockwood CCH, Inc.",,144,,0,,144,,0,,0,,0,,0,,288,,0,,0,,0,,0,,0,,0
,Juicy Lucy Juice Bar,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,172.8,,0
,Katherine Finnegan Interiors,,0,,345.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,KeHE Distributors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"KeHE - Aurora, CO",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"8,883.00",,"6,480.00",,"2,154.60"
,,"KeHE - Bloomington, IN","4,698.00",,"2,133.00",,0,,"1,379.16",,"1,998.00",,"5,697.00",,"1,841.40",,"5,043.60",,"2,619.00",,"5,475.60",,"6,301.80",,"3,888.00",,"9,936.00",,"4,946.40"
,,"KeHE - Breinigsville, PA (LeHigh Valley)","8,672.40",,"3,348.00",,"15,147.00",,"15,573.60",,"1,944.00",,"7,402.32",,"4,140.72",,"2,219.40",,"6,071.76",,"6,632.28",,"9,001.80",,"2,014.20",,"18,601.92",,0
,,"KeHE - Chino, CA",0,,0,,0,,0,,0,,0,,0,,0,,0,,"16,578.00",,"12,549.60",,"15,417.00",,"60,350.40",,"3,958.20"
,,"KeHE - Dallas, TX","12,868.20",,0,,"4,665.60",,"8,326.80",,"3,034.80",,"7,495.20",,"1,738.80",,"7,080.48",,"7,279.20",,"4,293.00",,"5,346.00",,"4,390.20",,"9,018.00",,0
,,"KeHE - Douglasville, GA",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,"KeHE - Elkton, FL (St. Augustine)","5,578.20",,"14,644.80",,0,,761.4,,0,,0,,"2,765.88",,"2,127.60",,"4,714.20",,"21,848.40",,"3,348.00",,"13,991.40",,0,,"10,384.20"
,,"KeHE - Flower Mound, TX",0,,0,,"3,888.00",,0,,"10,260.00",,"14,634.00",,"21,411.00",,"10,314.00",,"2,916.00",,"14,310.00",,"7,641.00",,"6,944.40",,"28,868.40",,"6,717.60"
,,KeHE - Ft. Lauderdale,"1,036.80",,"2,575.80",,0,,0,,0,,0,,"1,312.20",,"3,207.60",,"4,406.40",,"22,248.00",,0,,"2,581.20",,0,,0
,,"KeHE - Kennesaw, GA (Atlanta)",0,,"1,539.00",,0,,"1,004.40",,0,,0,,0,,"1,247.40",,"2,559.60",,"25,828.20",,0,,"9,239.40",,"10,848.60",,0
,,KeHE - New Portland,0,,0,,0,,"7,214.40",,0,,"8,078.40",,0,,"1,738.80",,"18,565.20",,"10,108.80",,"3,132.00",,"1,555.20",,"3,164.40",,"11,259.00"
,,"KeHE - Romeoville, IL","14,007.60",,"17,447.40",,0,,0,,0,,0,,"3,769.20",,"28,413.72",,"9,045.00",,"4,097.52",,"8,465.04",,"5,093.28",,"19,288.80",,"14,043.24"
,,"KeHE - Stockton, CA","8,337.60",,"3,699.00",,"1,420.20",,0,,0,,"4,330.80",,"1,944.00",,0,,"1,965.60",,"10,816.20",,"5,286.60",,"5,443.20",,"11,820.60",,"1,917.00"
,Total KeHE Distributors,,"55,198.80",,"45,387.00",,"25,120.80",,"34,259.76",,"17,236.80",,"47,637.72",,"38,923.20",,"61,392.60",,"60,141.96",,"142,236.00",,"61,071.84",,"79,440.48",,"178,377.12",,"55,380.24"
,Keswick Hall at Monticello,,0,,0,,0,,172.8,,0,,0,,0,,86.4,,0,,0,,0,,0,,0,,0
,Ketoship,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,187.2
,Lawson Market,,288,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Lean Culinary Services,,264,,264,,396,,0,,264,,396,,0,,396,,528,,0,,0,,396,,0,,0
,Lil' Drug Store Products Inc,,0,,0,,0,,0,,0,,0,,0,,0,,"62,688.00",,0,,0,,0,,0,,0
,Little Shop Artisan Box,,0,,86.4,,0,,259.2,,0,,0,,0,,0,,86.4,,0,,0,,0,,0,,0
,Lomar Distributing,,"3,744.00",,"6,576.00",,"7,180.80",,0,,"3,513.60",,"3,696.00",,"3,811.20",,"3,580.80",,"8,793.60",,"4,324.80",,"12,710.40",,"5,347.20",,"3,854.40",,"5,035.20"
,Los Angeles Distributing Company,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"6,508.80",,0,,0,,0
,Mama Africana Foods,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,102.72
,Marley Spoon,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"1,438.08"
,Marshalls,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marshalls - AZ,0,,0,,"7,488.00",,"7,614.00",,"3,861.00",,0,,0,,0,,0,,0,,0,,601.2,,0,,0
,,Marshalls - GA,0,,0,,"6,768.00",,"7,776.00",,"4,077.00",,0,,0,,0,,0,,0,,0,,"2,404.80",,0,,0
,,Marshalls - MA,0,,0,,"8,208.00",,"8,100.00",,"4,671.00",,0,,0,,0,,0,,0,,0,,"2,404.80",,0,,0
,,Marshalls - VA,0,,0,,"8,136.00",,"8,910.00",,"5,400.00",,0,,0,,0,,0,,0,,0,,601.2,,0,,0
,Total Marshalls,,0,,0,,"30,600.00",,"32,400.00",,"18,009.00",,0,,0,,0,,0,,0,,0,,"6,012.00",,0,,0
,Marvell Foods,,0,,0,,0,,0,,0,,0,,0,,"35,227.80",,"22,480.20",,0,,"47,541.60",,0,,0,,0
,Meijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Meijer - Lansing, MI",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,"Meijer - Newport, MI",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,"Meijer - Pleasant Prairie, WI",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
